name;precision;recall
Quadratic Discriminant Analysis;98.6297666302;27.2192961334
Nearest Centroid;97.8950119747;54.6200361531
Ridge Regression;97.7272996576;55.9423720651
Linear Discriminant Analysis;97.7030527399;56.0305504024
Gaussian Naive Bayes;97.0282501004;61.4453786073
Linear Support Vector Machine;95.4853304856;69.1402951261
Logistic Regression;94.3033236416;73.4796867634
Passive Aggressive;93.9756251043;74.4523616533
Decision Tree;88.0440008792;86.9448580159
Multi Layer Perceptron;87.7084455842;87.2280461376
Neural Network (Keras);87.5538869918;87.4769803668
Perceptron;73.0814504742;84.4341494351
Baseline;50.0710451264;50.0754603079
