name;precision;recall
Quadratic Discriminant Analysis;0.986297666302;0.272192961334
Nearest Centroid;0.978950119747;0.546200361531
Ridge Regression;0.977272996576;0.559423720651
Linear Discriminant Analysis;0.977030527399;0.560305504024
Gaussian Naive Bayes;0.970282501004;0.614453786073
Linear Support Vector Machine;0.954853304856;0.691402951261
Logistic Regression;0.943033236416;0.734796867634
Passive Aggressive;0.939756251043;0.744523616533
Decision Tree;0.880440008792;0.869448580159
Multi Layer Perceptron;0.877084455842;0.872280461376
Neural Network (Keras);0.875538869918;0.874769803668
Perceptron;0.730814504742;0.844341494351
Baseline;0.500710451264;0.500754603079
