name;precision;recall
Quadratic Discriminant Analysis;0.98529696734812522;0.27591001739826426
Nearest Centroid;0.97894026693895408;0.54625462512336487
Ridge Regression;0.97726572315861837;0.55924058102741325
Linear Discriminant Analysis;0.97699178869334402;0.56049203512210999
Gaussian Naive Bayes;0.9702532967121219;0.61460640242558262
Linear Support Vector Machine;0.95487953980128637;0.69132155587284683
Logistic Regression;0.9435344131498431;0.73315539397063656
Passive Aggressive;0.9398548827949007;0.74285501107316432
Decision Tree;0.88099578953161983;0.86858714563330697
Multi Layer Perceptron;0.87640113178800738;0.87399654747894739
Neural Network (Keras);0.87433667253282799;0.87618404853878318
Perceptron;0.85092852552176712;0.85315932808106976
Baseline;0.49901082157800258;0.49872650132097934
