name;precision;recall
Neural Network (keras);0.72579039346;0.842799960881
Multi Layer Perceptron;0.716545527288;0.848388426288
Quadratic Discriminant Analysis;0.715916096296;0.158191991729
Decision Tree;0.708336205312;0.861451464178
Passive Aggressive;0.653230586841;0.323320666145
Linear Support Vector Machine;0.637603461795;0.383414133229
Ridge Regression;0.635787008047;0.383012462278
Linear Discriminant Analysis;0.63564893728;0.38294260646
Logistic Regression;0.633189706559;0.389575416341
Gaussian Naive Bayes;0.625713256772;0.273087347714
Nearest Centroid;0.614697745479;0.415970437018
Perceptron;0.574700307969;0.530837850676
Baseline;0.500710451264;0.500754603079
